city,state,pet_id,name,breed
Houston,TX,48751157,LEIA,Border Collie
Santa Maria,CA,48751169,MAYA,Rhodesian Ridgeback
Houston,TX,48751156,DJ,Weimaraner
Oklahoma City,OK,48751149,RUBY,Hound
Oklahoma City,OK,48751150,ROXY,German Shepherd Dog
Colorado Springs,CO,48751151,MOJITO,Shih Tzu
Colorado Springs,CO,48751154,GORDO,Terrier
Fort Lauderdale,FL,48751142,SCOUT,Labrador Retriever
Fort Lauderdale,FL,48751140,PACO,American Staffordshire Terrier
Fort Lauderdale,FL,48751141,WALLY,Chihuahua
Omaha,NE,48751128,TITUS,German Shepherd Dog
Omaha,NE,48751133,ORCHID,Australian Cattle Dog
Houston,TX,48751120,A559501,Labrador Retriever
Houston,TX,48751117,ABBY,Boxer
Houston,TX,48751116,A556625,Labrador Retriever
Panama City,FL,48751111,ROSIE,Terrier
Las Vegas,NV,48751121,BUBBA,Pit Bull Terrier
San Pedro,CA,48751094,SKIPPY,Mixed Breed
Denver,CO,48751105,CINDER,Labrador Retriever
Denver,CO,48751103,BELLA T,Siberian Husky
Denver,CO,48751108,DAKOTA,American Bulldog
Denver,CO,48751104,MIDAS,Siberian Husky
Denver,CO,48751106,BRUSSEL SPROUT,Pit Bull Terrier
San Antonio,TX,48751102,LUNA,American Staffordshire Terrier
San Antonio,TX,48751099,BEAR,German Shepherd Dog
San Antonio,TX,48751101,SAMURAI,American Staffordshire Terrier
San Antonio,TX,48751100,XAVIER,Chihuahua
Vero Beach,FL,48751091,DELLA,Pit Bull Terrier
Long Beach,CA,48751089,A646961,Pug
Long Beach,CA,48751090,CHARLIE,Chihuahua
San Antonio,TX,48751098,KING,German Shepherd Dog
St. Louis,MO,48751075,BLUE,German Shepherd Dog
Upland,CA,48751065,A058607,Chihuahua
Burbank,CA,48751063,PAULIE,Poodle
Justin,TX,48751031,Roo,Catahoula Leopard Dog
Annapolis,MD,48751041,Dutchess Ripley,Lhasa Apso
New Orleans,LA,48751023,Bella Boo,Shepherd
Wasco,CA,48750798,(DAPHNE) AVAILABLE AUG 24 2020,Shar-Pei
San Antonio,TX,48751051,Lovey,Shepherd
Knoxville,TN,48751050,Donken,Shepherd
San Clemente,CA,48750995,Baxter,Poodle
Bastrop,TX,48751044,Bowzer 20-08-053,Pit Bull Terrier
Yuma,AZ,48751012,Lucky,German Shepherd Dog
Gainesville,FL,48751007,Cali,Hound
Spring,TX,48751005,Luca,Great Pyrenees
Iron Station,NC,48751002,Thor,Great Dane
Iron Station,NC,48751001,Ace,Great Dane
Iron Station,NC,48751000,Louie,Great Dane
Iron Station,NC,48751003,Holly,Great Dane
Livingston,TX,48750775,Buddy,Boxer
Carrollton,GA,48750994,Flip,Australian Cattle Dog
Wilton,NY,48750987,Berett,Hound
Salem,OR,48750978,Daisy,Pit Bull Terrier
Grand Rapids,MI,48750977,Duke,German Shepherd Dog
Grand Rapids,MI,48750976,Louie,Norwegian Elkhound
Asheville,NC,48750963,Ruby,Shepherd
Asheville,NC,48750961,Harvey,Retriever
Asheville,NC,48750960,Abby,Boxer
Asheville,NC,48750962,Maggie,Retriever
Asheville,NC,48750965,Happy,Pit Bull Terrier
Asheville,NC,48750964,Jasper,Catahoula Leopard Dog
Jacksonville,FL,48750958,Missy,Mixed Breed
Columbia,MO,48750959,Pearl,Pit Bull Terrier
Greenfield,TN,48750874,Tiny,Pit Bull Terrier
Phoenix,AZ,48750941,GOOSE,Australian Kelpie
Nashville,TN,48750934,Indy,Hound
Justin,TX,48750873,*Snow Bunny,Pit Bull Terrier
Lafayette,IN,48750931,Samson,Catahoula Leopard Dog
Madisonville,TN,48750937,Dani,Mixed Breed
Madisonville,TN,48750938,Darla,Mixed Breed
San Mateo,CA,48750787,Batty,Labrador Retriever
Brooks,AB,48750889,Kaya,Shepherd
Elko,NV,48750867,42132723 / Brownie,Chihuahua
Bauxite,AR,48750899,Gunther,Chihuahua
Brooks,AB,48750875,Roxy,Great Pyrenees
Fort Lauderdale,FL,48750886,Carmen,Hound
Holly Springs,NC,48750887,Sofie,Terrier
Fort Lauderdale,FL,48750885,Peludo,Maltese
Dyer,IN,48749402,Naomi,Rat Terrier
San Francisco,CA,48750883,*Prairie* puppy,Chihuahua
Brooks,AB,48750661,Shadow,Bernese Mountain Dog
San Diego,CA,48750613,Caspar,West Highland White Terrier
Justin,TX,48750822,*Buster,Labrador Retriever
Covington,GA,48750818,Dog Pen 1,Pit Bull Terrier
Madisonville,KY,48750782,Zeus (A45218470),Terrier
Grand Rapids,MI,48750807,Baby,Labrador Retriever
Houston,TX,48750804,Buddy,Labrador Retriever
Tupelo,MS,48750801,Harry - 081103N,Black and Tan Coonhound
Tupelo,MS,48750799,Draco - 081104N,Black and Tan Coonhound
Tupelo,MS,48750800,Hermione - 081105N,Black and Tan Coonhound
Tupelo,MS,48750803,Rubeus - 081107N,Black and Tan Coonhound
Tupelo,MS,48750802,Nagini - 081106N,Black and Tan Coonhound
Crystal Lake,IL,48750777,Delaney,Labrador Retriever
Madison,NJ,48750795,Riley,Pit Bull Terrier
Justin,TX,48750617,*Lobo,Australian Cattle Dog
Levelland,TX,48750774,Della,Pit Bull Terrier
Unionville,VA,48750207,Stump,Labrador Retriever
Denton,TX,48750778,CARLY,Terrier
Madisonville,KY,48750633,Darla,Beagle
Bryan,TX,48750773,Chewbacca,Pit Bull Terrier
Milwaukee,WI,48750755,Rocky,Siberian Husky
Milwaukee,WI,48750759,D-O-G,Mixed Breed
Milwaukee,WI,48750753,Jane,Shepherd
Eugene,OR,48750764,Cooper,Boxer
Milwaukee,WI,48750752,Pika,Beagle
Eugene,OR,48750765,Weston,Cattle Dog
Milwaukee,WI,48750757,Apallo,Pit Bull Terrier
Irving,TX,48750762,Pookie,Shih Tzu
Irving,TX,48750761,Boobie,Dachshund
Dallas,TX,48750631,Fritz,Hound
Greenville,SC,48750750,Buffy,Labrador Retriever
Greenville,SC,48750751,Iris,Labrador Retriever
Longview,TX,48750734,Carrot,Doberman Pinscher
Longview,TX,48750728,Rhubarb,Doberman Pinscher
Longview,TX,48750727,Richie,Labrador Retriever
Chattanooga,TN,48750724,Theo,Pit Bull Terrier
Chattanooga,TN,48750723,Henrietta,Rhodesian Ridgeback
Chattanooga,TN,48750722,Mitchell,Terrier
Chattanooga,TN,48750725,Lucietoo,Boxer
Greenville,SC,48750710,Mozzarella,Retriever
